price,rooms,total_area_m2,floor,address,title,url
16 000 000 ₽427 807 ₽/м²,1,37.4 м²,6/7,Москва,"1-комн. квартира, 37,4 м², 6/7 этаж",https://www.cian.ru/cat.php?id_user=17950754&deal_type=sale&flat=yes&engine_version=2
25 000 000 ₽438 596 ₽/м²,2,57 м²,4/5,Москва,"2-комн. квартира, 57 м², 4/5 этаж",https://www.cian.ru/cat.php?id_user=131486046&deal_type=sale&flat=yes&engine_version=2
19 900 000 ₽209 034 ₽/м²,4,95.2 м²,1/5,Москва,"4-комн. квартира, 95,2 м², 1/5 этаж",https://www.cian.ru/cat.php?id_user=73781772&deal_type=sale&flat=yes&engine_version=2
9 150 000 ₽150 000 ₽/м²,2,61 м²,2/3,Москва,"2-комн. квартира, 61 м², 2/3 этаж",https://www.cian.ru/cat.php?id_user=9679252&deal_type=sale&flat=yes&engine_version=2
22 500 000 ₽703 125 ₽/м²,1,32 м²,7/13,Москва,"1-комн. апартаменты, 32 м², 7/13 этаж",https://www.cian.ru/cat.php?id_user=12789323&deal_type=sale&flat=yes&engine_version=2
11 340 000 ₽331 579 ₽/м²,2,34.2 м²,9/9,Москва,"2-комн. квартира, 34,2 м², 9/9 этаж",https://www.cian.ru/cat.php?id_user=305490&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽235 070 ₽/м²,4,78.7 м²,1/14,Москва,"4-комн. квартира, 78,7 м², 1/14 этаж",https://www.cian.ru/cat.php?id_user=16009406&deal_type=sale&flat=yes&engine_version=2
28 800 000 ₽429 851 ₽/м²,2,67 м²,10/14,Москва,"2-комн. квартира, 67 м², 10/14 этаж",https://www.cian.ru/cat.php?id_user=88934642&deal_type=sale&flat=yes&engine_version=2
16 000 000 ₽427 807 ₽/м²,2,37.4 м²,6/7,Москва,"2-комн. квартира, 37,4 м², 6/7 этаж",https://www.cian.ru/cat.php?id_user=17950754&deal_type=sale&flat=yes&engine_version=2
14 700 000 ₽332 579 ₽/м²,2,44.2 м²,5/9,Москва,"2-комн. квартира, 44,2 м², 5/9 этаж",https://www.cian.ru/cat.php?id_user=305490&deal_type=sale&flat=yes&engine_version=2
23 900 000 ₽398 333 ₽/м²,3,60 м²,5/9,Москва,"3-комн. квартира, 60 м², 5/9 этаж",https://www.cian.ru/cat.php?id_user=45262586&deal_type=sale&flat=yes&engine_version=2
27 000 000 ₽329 268 ₽/м²,3,82 м²,12/23,Москва,"3-комн. квартира, 82 м², 12/23 этаж",https://www.cian.ru/cat.php?id_user=185313&deal_type=sale&flat=yes&engine_version=2
21 000 000 ₽296 192 ₽/м²,3,70.9 м²,1/5,Москва,"3-комн. квартира, 70,9 м², 1/5 этаж",https://www.cian.ru/cat.php?id_user=17817&deal_type=sale&flat=yes&engine_version=2
24 600 000 ₽492 000 ₽/м²,2,50 м²,3/12,Москва,"2-комн. квартира, 50 м², 3/12 этаж",https://www.cian.ru/cat.php?id_user=58944&deal_type=sale&flat=yes&engine_version=2
20 950 000 ₽361 207 ₽/м²,3,58 м²,9/9,Москва,Продажа 3-х комнатной квартиры,https://www.cian.ru/cat.php?id_user=82693587&deal_type=sale&flat=yes&engine_version=2
26 990 000 ₽362 769 ₽/м²,3,74.4 м²,16/16,Москва,"3-комн. квартира, 74,4 м², 16/16 этаж",https://www.cian.ru/cat.php?id_user=12323908&deal_type=sale&flat=yes&engine_version=2
20 999 999 ₽231 788 ₽/м²,4,90.6 м²,2/14,Москва,"4-комн. квартира, 90,6 м², 2/14 этаж",https://www.cian.ru/cat.php?id_user=62693955&deal_type=sale&flat=yes&engine_version=2
27 500 000 ₽550 000 ₽/м²,2,50 м²,8/12,Москва,"2-комн. квартира, 50 м², 8/12 этаж",https://www.cian.ru/cat.php?id_user=58944&deal_type=sale&flat=yes&engine_version=2
23 900 000 ₽341 429 ₽/м²,3,70 м²,1/19,Москва,"3-комн. апартаменты, 70 м², 1/19 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
16 400 000 ₽482 353 ₽/м²,1,34 м²,15/19,Москва,"1-комн. квартира, 34 м², 15/19 этаж",https://www.cian.ru/cat.php?id_user=82239212&deal_type=sale&flat=yes&engine_version=2
16 950 000 ₽169 500 ₽/м²,4,100 м²,1/5,Москва,"4-комн. квартира, 100 м², 1/5 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
14 900 000 ₽266 547 ₽/м²,3,55.9 м²,4/5,Москва,Трехкомнатная квартира Измайлово,https://www.cian.ru/cat.php?id_user=96133265&deal_type=sale&flat=yes&engine_version=2
22 600 000 ₽322 857 ₽/м²,3,70 м²,4/15,Москва,"3-комн. апартаменты, 70 м², 4/15 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
12 990 000 ₽375 434 ₽/м²,1,34.6 м²,8/16,Москва,"1-комн. квартира, 34,6 м², 8/16 этаж",https://www.cian.ru/cat.php?id_user=9787912&deal_type=sale&flat=yes&engine_version=2
24 600 000 ₽313 776 ₽/м²,3,78.4 м²,20/22,Москва,"3-комн. квартира, 78,4 м², 20/22 этаж",https://www.cian.ru/cat.php?id_user=21381&deal_type=sale&flat=yes&engine_version=2
7 850 000 ₽290 741 ₽/м²,Студия,27 м²,6/15,Москва,Студия с ремонтом,https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
21 500 000 ₽286 285 ₽/м²,4,75.1 м²,2/14,Москва,"4-комн. квартира, 75,1 м², 2/14 этаж",https://www.cian.ru/cat.php?id_user=12480076&deal_type=sale&flat=yes&engine_version=2
28 390 000 ₽506 964 ₽/м²,2,56 м²,9/24,Москва,"2-комн. апартаменты, 56 м², 9/24 этаж",https://www.cian.ru/cat.php?id_user=48528697&deal_type=sale&flat=yes&engine_version=2
22 000 000 ₽362 438 ₽/м²,3,60.7 м²,6/12,Москва,"3-комн. квартира, 60,7 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=80422298&deal_type=sale&flat=yes&engine_version=2
25 500 000 ₽510 000 ₽/м²,2,50 м²,6/9,Москва,"2-комн. квартира, 50 м², 6/9 этаж",https://www.cian.ru/cat.php?id_user=67649507&deal_type=sale&flat=yes&engine_version=2
21 750 000 ₽260 479 ₽/м²,3,83.5 м²,7/14,Москва,"3-комн. квартира, 83,5 м², 7/14 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
15 450 000 ₽211 644 ₽/м²,2,73 м²,1/17,Москва,Просторная двухкомнатная квартира,https://www.cian.ru/cat.php?id_user=96035971&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽301 794 ₽/м²,3,61.3 м²,8/12,Москва,"3-комн. квартира, 61,3 м², 8/12 этаж",https://www.cian.ru/cat.php?id_user=16009406&deal_type=sale&flat=yes&engine_version=2
28 000 000 ₽452 342 ₽/м²,2,61.9 м²,23/27,Москва,"2-комн. квартира, 61,9 м², 23/27 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
12 700 000 ₽317 500 ₽/м²,1,40 м²,2/11,Москва,"1-комн. квартира, 40 м², 2/11 этаж",https://www.cian.ru/cat.php?id_user=45262586&deal_type=sale&flat=yes&engine_version=2
15 900 000 ₽436 813 ₽/м²,1,36.4 м²,7/17,Москва,"1-комн. квартира, 36,4 м², 7/17 этаж",https://www.cian.ru/cat.php?id_user=106340623&deal_type=sale&flat=yes&engine_version=2
21 050 000 ₽283 311 ₽/м²,3,74.3 м²,1/5,Москва,"3х комнатная квартира 74,3 м²!",https://www.cian.ru/cat.php?id_user=886987&deal_type=sale&flat=yes&engine_version=2
15 850 000 ₽456 772 ₽/м²,2,34.7 м²,3/9,Москва,"2-комн. квартира, 34,7 м², 3/9 этаж",https://www.cian.ru/cat.php?id_user=117457659&deal_type=sale&flat=yes&engine_version=2
23 688 000 ₽470 000 ₽/м²,3,50.4 м²,7/23,Москва,"3-комн. апартаменты, 50,4 м², 7/23 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
9 650 000 ₽271 831 ₽/м²,1,35.5 м²,1/9,Москва,"1-комн. квартира, 35,5 м², 1/9 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
21 800 000 ₽290 667 ₽/м²,3,75 м²,11/25,Москва,"3-комн. квартира, 75 м², 11/25 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
14 000 000 ₽368 421 ₽/м²,2,38 м²,1/9,Москва,"2-комн. квартира, 38 м², 1/9 этаж",https://www.cian.ru/cat.php?id_user=13033135&deal_type=sale&flat=yes&engine_version=2
23 990 000 ₽444 259 ₽/м²,3,54 м²,6/9,Москва,Трехкомнатная квартира мечты!,https://www.cian.ru/cat.php?id_user=17950754&deal_type=sale&flat=yes&engine_version=2
29 500 000 ₽341 040 ₽/м²,4,86.5 м²,7/22,Москва,Просторная 4-комнатная квартира,https://www.cian.ru/cat.php?id_user=13187524&deal_type=sale&flat=yes&engine_version=2
19 500 000 ₽300 000 ₽/м²,3,65 м²,1/9,Москва,"3-комн. квартира, 65 м², 1/9 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
19 200 000 ₽309 677 ₽/м²,2,62 м²,20/20,Москва,"2-комн. квартира, 62 м², 20/20 этаж",https://www.cian.ru/cat.php?id_user=45756925&deal_type=sale&flat=yes&engine_version=2
23 200 000 ₽319 120 ₽/м²,3,72.7 м²,3/5,Москва,"3-комн. кв., 72.7 м², 3/5 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
22 900 000 ₽416 364 ₽/м²,2,55 м²,4/12,Москва,"2-комн. квартира, 55 м², 4/12 этаж",https://www.cian.ru/cat.php?id_user=109013351&deal_type=sale&flat=yes&engine_version=2
20 999 000 ₽386 011 ₽/м²,3,54.4 м²,19/19,Москва,"3-комн. квартира, 54,4 м², 19/19 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽195 560 ₽/м²,3,94.6 м²,2/17,Москва,"3-комн. квартира, 94,6 м², 2/17 этаж",https://www.cian.ru/cat.php?id_user=17817&deal_type=sale&flat=yes&engine_version=2
14 100 000 ₽320 455 ₽/м²,2,44 м²,9/9,Москва,"2-комн. квартира, 44 м², 9/9 этаж",https://www.cian.ru/cat.php?id_user=13299034&deal_type=sale&flat=yes&engine_version=2
21 500 000 ₽279 221 ₽/м²,3,77 м²,7/25,Москва,"3-комн. кв., 77 м², 7/25 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽261 669 ₽/м²,3,70.7 м²,16/16,Москва,"3-комн. кв., 70.7 м²",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
23 800 000 ₽309 091 ₽/м²,2,77 м²,2/9,Москва,"2-комн. квартира, 77 м², 2/9 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
22 900 000 ₽492 473 ₽/м²,2,46.5 м²,4/8,Москва,"2-комн. квартира, 46,5 м², 4/8 этаж",https://www.cian.ru/cat.php?id_user=123860344&deal_type=sale&flat=yes&engine_version=2
18 000 000 ₽335 196 ₽/м²,2,53.7 м²,6/12,Москва,"2-комнатная квартира, Москва",https://www.cian.ru/cat.php?id_user=16009406&deal_type=sale&flat=yes&engine_version=2
16 700 000 ₽278 333 ₽/м²,2,60 м²,13/14,Москва,"2-комн. квартира, 60 м², 13/14 этаж",https://www.cian.ru/cat.php?id_user=1689268&deal_type=sale&flat=yes&engine_version=2
17 500 000 ₽333 333 ₽/м²,2,52.5 м²,10/12,Москва,"2-комн. квартира, 52,5 м², 10/12 этаж",https://www.cian.ru/cat.php?id_user=82693587&deal_type=sale&flat=yes&engine_version=2
11 680 000 ₽315 676 ₽/м²,1,37 м²,6/12,Москва,"1-комн. квартира, 37 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
15 500 000 ₽309 381 ₽/м²,3,50.1 м²,15/17,Москва,"3-комн. 50.1 м², 15/17 эт",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
25 000 000 ₽618 812 ₽/м²,1,40.4 м²,22/22,Москва,"1-комн. квартира, 40,4 м², 22/22 этаж",https://www.cian.ru/cat.php?id_user=90136494&deal_type=sale&flat=yes&engine_version=2
15 500 000 ₽188 794 ₽/м²,3,82.1 м²,3/4,Москва,"3-комн. квартира, 82,1 м², 3/4 этаж",https://www.cian.ru/cat.php?id_user=886987&deal_type=sale&flat=yes&engine_version=2
7 900 000 ₽323 770 ₽/м²,1,24.4 м²,2/2,Москва,"1-комн. апартаменты, 24,4 м², 2/2 этаж",https://www.cian.ru/cat.php?id_user=101232642&deal_type=sale&flat=yes&engine_version=2
15 500 000 ₽301 498 ₽/м²,3,51.41 м²,13/15,Москва,"3-комн. апартаменты, 51,41 м², 13/15 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
10 200 000 ₽289 773 ₽/м²,1,35.2 м²,2/12,Москва,"1-комн. квартира, 35,2 м², 2/12 этаж",https://www.cian.ru/cat.php?id_user=53927433&deal_type=sale&flat=yes&engine_version=2
24 500 000 ₽555 556 ₽/м²,2,44.1 м²,25/55,Москва,"2-комн. квартира, 44,1 м², 25/55 этаж",https://www.cian.ru/cat.php?id_user=82693587&deal_type=sale&flat=yes&engine_version=2
11 600 000 ₽362 500 ₽/м²,1,32 м²,6/9,Москва,"1-комн. квартира, 32 м², 6/9 этаж",https://www.cian.ru/cat.php?id_user=17383766&deal_type=sale&flat=yes&engine_version=2
20 999 000 ₽256 085 ₽/м²,3,82 м²,1/5,Москва,"3-комн. кв., 82 м², 1/5 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
11 300 000 ₽255 079 ₽/м²,2,44.3 м²,6/9,Москва,"2-комн. квартира, 44,3 м², 6/9 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
21 490 000 ₽539 950 ₽/м²,1,39.8 м²,3/30,Москва,"1-комн. квартира, 39,8 м², 3/30 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
14 700 000 ₽432 353 ₽/м²,2,34 м²,9/9,Москва,"2-комн. квартира, 34 м², 9/9 этаж",https://www.cian.ru/cat.php?id_user=51623189&deal_type=sale&flat=yes&engine_version=2
16 500 000 ₽232 722 ₽/м²,3,70.9 м²,1/14,Москва,"3-комн. квартира, 70,9 м², 1/14 этаж",https://www.cian.ru/cat.php?id_user=56222271&deal_type=sale&flat=yes&engine_version=2
10 500 000 ₽381 818 ₽/м²,1,27.5 м²,6/12,Москва,"1-комн. квартира, 27,5 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=80422298&deal_type=sale&flat=yes&engine_version=2
22 100 000 ₽350 794 ₽/м²,3,63 м²,14/14,Москва,"3-комн. квартира, 63 м², 14/14 этаж",https://www.cian.ru/cat.php?id_user=17950754&deal_type=sale&flat=yes&engine_version=2
6 465 000 ₽185 244 ₽/м²,1,16 м²,2/3,Москва,"1-комн. квартира, 34,9 м², 2/3 этаж",https://www.cian.ru/cat.php?id_user=87162081&deal_type=sale&flat=yes&engine_version=2
22 500 000 ₽357 143 ₽/м²,2,63 м²,6/23,Москва,"2-комн. квартира, 63 м², 6/23 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
6 650 000 ₽182 192 ₽/м²,1,6 м²,2/3,Москва,"1-комн. квартира, 36,5 м², 2/3 этаж",https://www.cian.ru/cat.php?id_user=87162081&deal_type=sale&flat=yes&engine_version=2
16 400 000 ₽380 510 ₽/м²,1,43.1 м²,24/28,Москва,"1-комн. квартира, 43,1 м², 24/28 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
10 600 000 ₽286 486 ₽/м²,1,37 м²,3/17,Москва,"1-комн. апартаменты, 37 м², 3/17 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
15 800 000 ₽371 765 ₽/м²,1,42.5 м²,2/28,Москва,"1-комн. квартира, 42,5 м², 2/28 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
12 750 000 ₽354 167 ₽/м²,1,36 м²,8/10,Москва,"1-комн. квартира, 36 м², 8/10 этаж",https://www.cian.ru/cat.php?id_user=56876478&deal_type=sale&flat=yes&engine_version=2
13 400 000 ₽230 241 ₽/м²,3,58.2 м²,4/9,Москва,"3-комн. квартира, 58,2 м², 4/9 этаж",https://www.cian.ru/cat.php?id_user=80422298&deal_type=sale&flat=yes&engine_version=2
14 650 000 ₽332 955 ₽/м²,2,44 м²,16/16,Москва,"2-комн. квартира, 44 м², 16/16 этаж",https://www.cian.ru/cat.php?id_user=12284317&deal_type=sale&flat=yes&engine_version=2
17 300 000 ₽293 718 ₽/м²,3,58.9 м²,9/10,Москва,"3-комн. квартира, 58,9 м², 9/10 этаж",https://www.cian.ru/cat.php?id_user=78134362&deal_type=sale&flat=yes&engine_version=2
14 999 000 ₽288 442 ₽/м²,2,52 м²,4/12,Москва,"2-комн. квартира, 52 м², 4/12 этаж",https://www.cian.ru/cat.php?id_user=107641596&deal_type=sale&flat=yes&engine_version=2
20 400 000 ₽477 752 ₽/м²,2,42.7 м²,20/33,Москва,"2-комн. квартира, 42,7 м², 20/33 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
17 000 000 ₽337 302 ₽/м²,2,50.4 м²,5/14,Москва,"2-комн. квартира, 50,4 м², 5/14 этаж",https://www.cian.ru/cat.php?id_user=71251391&deal_type=sale&flat=yes&engine_version=2
20 600 000 ₽364 602 ₽/м²,2,56.5 м²,1/5,Москва,"2-комн. квартира, 56,5 м², 1/5 этаж",https://www.cian.ru/cat.php?id_user=123860344&deal_type=sale&flat=yes&engine_version=2
17 200 000 ₽259 819 ₽/м²,3,66.2 м²,7/10,Москва,"3-комн. квартира, 66,2 м², 7/10 этаж",https://www.cian.ru/cat.php?id_user=335209&deal_type=sale&flat=yes&engine_version=2
17 999 999 ₽243 572 ₽/м²,3,73.9 м²,3/3,Москва,"3-комн. квартира, 73,9 м², 3/3 этаж",https://www.cian.ru/cat.php?id_user=565329&deal_type=sale&flat=yes&engine_version=2
25 500 000 ₽510 000 ₽/м²,2,50 м²,6/9,Москва,"2-комн. квартира, 50 м², 6/9 этаж",https://www.cian.ru/cat.php?id_user=67649507&deal_type=sale&flat=yes&engine_version=2
22 000 000 ₽488 889 ₽/м²,1,45 м²,26/30,Москва,"1-комн. квартира, 45 м², 26/30 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
23 500 000 ₽474 747 ₽/м²,2,49.5 м²,6/23,Москва,"2-комн. квартира, 49,5 м², 6/23 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
13 100 000 ₽344 737 ₽/м²,1,38 м²,3/14,Москва,"1-комн. квартира, 38 м², 3/14 этаж",https://www.cian.ru/cat.php?id_user=1689268&deal_type=sale&flat=yes&engine_version=2
29 000 000 ₽674 419 ₽/м²,2,43 м²,5/6,Москва,"2-комн. квартира, 43 м², 5/6 этаж",https://www.cian.ru/cat.php?id_user=50227&deal_type=sale&flat=yes&engine_version=2
16 600 000 ₽263 074 ₽/м²,3,63.1 м²,6/12,Москва,"3-комн. квартира, 63,1 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=80422298&deal_type=sale&flat=yes&engine_version=2
18 700 000 ₽397 872 ₽/м²,2,47 м²,7/9,Москва,"2-комн. квартира, 47 м², 7/9 этаж",https://www.cian.ru/cat.php?id_user=88204702&deal_type=sale&flat=yes&engine_version=2
18 700 000 ₽310 631 ₽/м²,2,60.2 м²,4/9,Москва,"2-комн. квартира, 60,2 м², 4/9 этаж",https://www.cian.ru/cat.php?id_user=125224028&deal_type=sale&flat=yes&engine_version=2
6 650 000 ₽182 192 ₽/м²,1,6 м²,2/3,Москва,"1-комн. квартира, 36,5 м², 2/3 этаж",https://www.cian.ru/cat.php?id_user=87162081&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽304 226 ₽/м²,2,60.81 м²,12/12,Москва,"2-комн. квартира, 60,81 м², 12/12 этаж",https://www.cian.ru/cat.php?id_user=9679252&deal_type=sale&flat=yes&engine_version=2
15 500 000 ₽262 712 ₽/м²,3,59 м²,5/9,Москва,"3-комн. квартира, 59 м², 5/9 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
17 325 000 ₽292 159 ₽/м²,3,59.3 м²,9/9,Москва,"3-комн. квартира, 59,3 м², 9/9 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
16 000 000 ₽205 392 ₽/м²,3,77.9 м²,9/14,Москва,"3-комн. квартира, 77,9 м², 9/14 этаж",https://www.cian.ru/cat.php?id_user=1689268&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽533 141 ₽/м²,1,34.7 м²,9/14,Москва,"1-комн. квартира, 34,7 м², 9/14 этаж",https://www.cian.ru/cat.php?id_user=10310682&deal_type=sale&flat=yes&engine_version=2
22 900 000 ₽601 050 ₽/м²,1,38.1 м²,20/22,Москва,"1-комн. квартира, 38,1 м², 20/22 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
9 800 000 ₽245 000 ₽/м²,1,40 м²,13/16,Москва,"1-комн. квартира, 40 м², 13/16 этаж",https://www.cian.ru/cat.php?id_user=4367&deal_type=sale&flat=yes&engine_version=2
24 700 000 ₽418 644 ₽/м²,2,59 м²,5/19,Москва,"2-комн. апартаменты, 59 м², 5/19 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽237 718 ₽/м²,4,63.1 м²,5/9,Москва,4-комнатная по цене 3-комнатной,https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
21 021 000 ₽356 288 ₽/м²,2,59 м²,5/22,Москва,"2-комн. квартира, 59 м², 5/22 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
17 000 000 ₽450 928 ₽/м²,2,37.7 м²,2/9,Москва,"2-комн. квартира, 37,7 м², 2/9 этаж",https://www.cian.ru/cat.php?id_user=52316761&deal_type=sale&flat=yes&engine_version=2
21 021 000 ₽356 288 ₽/м²,2,59 м²,5/22,Москва,"2-комн. квартира, 59 м², 5/22 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽333 333 ₽/м²,2,45 м²,10/21,Москва,"2-комн. апартаменты, 45 м², 10/21 этаж",https://www.cian.ru/cat.php?id_user=48341215&deal_type=sale&flat=yes&engine_version=2
24 500 000 ₽680 556 ₽/м²,1,36 м²,3/20,Москва,"1-комн. квартира, 36 м², 3/20 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
15 785 000 ₽308 904 ₽/м²,2,51.1 м²,5/17,Москва,"2-комн. апартаменты, 51,1 м², 5/17 этаж",https://www.cian.ru/cat.php?id_user=96475243&deal_type=sale&flat=yes&engine_version=2
17 300 000 ₽265 337 ₽/м²,3,65.2 м²,3/5,Москва,"3-комн. квартира, 65,2 м², 3/5 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
15 800 000 ₽355 056 ₽/м²,2,44.5 м²,1/12,Москва,"2-комн. квартира, 44,5 м², 1/12 этаж",https://www.cian.ru/cat.php?id_user=12323908&deal_type=sale&flat=yes&engine_version=2
13 800 000 ₽313 636 ₽/м²,2,44 м²,1/9,Москва,"2-комн. квартира, 44 м², 1/9 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
16 500 000 ₽366 667 ₽/м²,2,45 м²,3/5,Москва,"2-комн. квартира, 45 м², 3/5 этаж",https://www.cian.ru/cat.php?id_user=14147214&deal_type=sale&flat=yes&engine_version=2
21 500 000 ₽346 774 ₽/м²,3,62 м²,6/22,Москва,"3-комн. апартаменты, 62 м², 6/22 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
17 000 000 ₽427 136 ₽/м²,1,39.8 м²,3/20,Москва,"1-комн. квартира, 39,8 м², 3/20 этаж",https://www.cian.ru/cat.php?id_user=15144&deal_type=sale&flat=yes&engine_version=2
